adopter_id,pet_id,home_type,has_yard,has_children,children_age_group,has_other_pets,other_pets_type,dog_experience,available_time,activity_level,preferred_size,preferred_age,pet_age,pet_energy_level,pet_temperament,pet_sociability,children_compatibility,dogs_compatibility,cats_compatibility,exercise_need,apartment_adaptability,compatibility
3,10,Apartment,False,False,N/A,False,N/A,Beginner,Medium,High,Medium,Filhote,2.0,High,Calm,High,True,True,True,Medium,Medium,1
4,248,Apartment,True,False,N/A,True,cat,Intermediate,Low,Low,Medium,Idoso,5.4,Low,Independent,Low,True,False,True,Low,High,1
4,221,Apartment,True,False,N/A,True,cat,Intermediate,Low,Low,Medium,Idoso,1.7,Low,Affectionate,High,False,False,True,Low,Medium,1
4,22,Apartment,True,False,N/A,True,cat,Intermediate,Low,Low,Medium,Idoso,9.6,High,Calm,Medium,True,False,True,Medium,High,0
4,101,Apartment,True,False,N/A,True,cat,Intermediate,Low,Low,Medium,Idoso,4.6,High,Playful,Medium,True,True,True,Low,Medium,1
4,56,Apartment,True,False,N/A,True,cat,Intermediate,Low,Low,Medium,Idoso,6.6,High,Affectionate,Low,True,True,False,Medium,Medium,0
5,17,House,True,False,N/A,False,N/A,Intermediate,High,High,Large,Filhote,2.5,Medium,Territorial,Medium,False,True,False,Medium,Medium,1
5,263,House,True,False,N/A,False,N/A,Intermediate,High,High,Large,Filhote,10.9,High,Territorial,Medium,True,False,False,Medium,Medium,1
5,31,House,True,False,N/A,False,N/A,Intermediate,High,High,Large,Filhote,13.7,Low,Territorial,High,False,True,True,Low,Medium,1
5,241,House,True,False,N/A,False,N/A,Intermediate,High,High,Large,Filhote,0.8,Medium,Independent,High,True,True,False,Low,Medium,1
5,61,House,True,False,N/A,False,N/A,Intermediate,High,High,Large,Filhote,0.9,Low,Calm,Low,True,True,True,Low,High,1
6,130,Apartment,False,False,N/A,True,cat,Beginner,High,High,Medium,Idoso,0.4,Low,Calm,High,True,False,False,Low,Low,0
6,23,Apartment,False,False,N/A,True,cat,Beginner,High,High,Medium,Idoso,2.9,High,Territorial,High,False,False,False,High,High,0
6,34,Apartment,False,False,N/A,True,cat,Beginner,High,High,Medium,Idoso,13.0,Low,Playful,Low,True,False,True,Low,High,1
6,155,Apartment,False,False,N/A,True,cat,Beginner,High,High,Medium,Idoso,11.9,High,Affectionate,Low,True,True,True,Medium,High,1
6,6,Apartment,False,False,N/A,True,cat,Beginner,High,High,Medium,Idoso,14.0,Medium,Calm,Low,True,True,False,Low,Medium,0
7,50,Apartment,True,False,N/A,False,N/A,Intermediate,Low,Low,Medium,Idoso,5.6,High,Independent,Medium,True,False,True,Low,High,1
7,64,Apartment,True,False,N/A,False,N/A,Intermediate,Low,Low,Medium,Idoso,10.9,Medium,Playful,Low,True,False,True,Medium,High,0
7,106,Apartment,True,False,N/A,False,N/A,Intermediate,Low,Low,Medium,Idoso,10.0,High,Independent,Medium,False,False,False,Medium,Medium,0
7,103,Apartment,True,False,N/A,False,N/A,Intermediate,Low,Low,Medium,Idoso,4.2,Low,Territorial,Low,False,True,False,Low,High,1
7,95,Apartment,True,False,N/A,False,N/A,Intermediate,Low,Low,Medium,Idoso,3.0,High,Playful,High,True,True,False,Medium,High,0
8,180,Apartment,False,False,N/A,False,N/A,Beginner,High,Low,Medium,Adulto,8.5,Low,Independent,High,True,True,False,Low,High,1
8,15,Apartment,False,False,N/A,False,N/A,Beginner,High,Low,Medium,Adulto,1.2,High,Territorial,Low,True,True,True,High,High,0
8,47,Apartment,False,False,N/A,False,N/A,Beginner,High,Low,Medium,Adulto,11.4,Medium,Calm,Medium,True,True,False,Medium,Medium,1
8,75,Apartment,False,False,N/A,False,N/A,Beginner,High,Low,Medium,Adulto,11.9,Low,Territorial,Low,True,True,True,Medium,High,1
8,143,Apartment,False,False,N/A,False,N/A,Beginner,High,Low,Medium,Adulto,0.4,Medium,Affectionate,Medium,True,False,False,Low,Medium,1
9,297,House,True,True,0-5,False,N/A,Beginner,Low,Low,Small,Idoso,13.3,High,Playful,High,True,True,False,High,High,0
9,179,House,True,True,0-5,False,N/A,Beginner,Low,Low,Small,Idoso,8.4,Low,Independent,High,True,True,True,Low,Medium,1
9,181,House,True,True,0-5,False,N/A,Beginner,Low,Low,Small,Idoso,13.5,Medium,Independent,Medium,True,False,False,Medium,High,0
9,83,House,True,True,0-5,False,N/A,Beginner,Low,Low,Small,Idoso,10.6,High,Independent,Medium,False,True,False,Medium,High,0
9,257,House,True,True,0-5,False,N/A,Beginner,Low,Low,Small,Idoso,9.6,Low,Territorial,Low,False,True,True,Low,Low,0
10,124,House,False,False,N/A,True,dog,Experienced,Medium,Low,Small,Idoso,13.2,Low,Affectionate,Low,True,True,True,Medium,Medium,1
10,259,House,False,False,N/A,True,dog,Experienced,Medium,Low,Small,Idoso,5.5,Low,Territorial,Medium,True,True,True,Low,Medium,1
10,292,House,False,False,N/A,True,dog,Experienced,Medium,Low,Small,Idoso,3.8,High,Territorial,Medium,True,False,True,Low,Low,0
10,35,House,False,False,N/A,True,dog,Experienced,Medium,Low,Small,Idoso,9.4,High,Affectionate,Medium,True,False,False,Medium,High,0
10,51,House,False,False,N/A,True,dog,Experienced,Medium,Low,Small,Idoso,6.9,High,Independent,Low,False,True,True,High,Medium,0
11,297,House,True,False,N/A,False,N/A,Experienced,Low,Low,Large,Adulto,13.3,High,Playful,High,True,True,False,High,High,0
11,8,House,True,False,N/A,False,N/A,Experienced,Low,Low,Large,Adulto,10.7,Medium,Affectionate,Low,True,True,False,Medium,Low,0
11,271,House,True,False,N/A,False,N/A,Experienced,Low,Low,Large,Adulto,4.0,Medium,Playful,Low,True,True,True,Medium,Low,0
11,112,House,True,False,N/A,False,N/A,Experienced,Low,Low,Large,Adulto,6.8,High,Independent,High,True,False,False,Medium,Low,0
11,99,House,True,False,N/A,False,N/A,Experienced,Low,Low,Large,Adulto,2.6,High,Territorial,High,False,True,False,High,High,0
12,145,Apartment,True,False,N/A,False,N/A,Beginner,Low,High,Medium,Filhote,13.0,Low,Territorial,Low,True,True,True,Low,Medium,0
12,88,Apartment,True,False,N/A,False,N/A,Beginner,Low,High,Medium,Filhote,7.5,Low,Affectionate,Medium,True,True,True,Low,High,1
12,276,Apartment,True,False,N/A,False,N/A,Beginner,Low,High,Medium,Filhote,0.6,High,Independent,Low,True,True,True,Low,High,1
12,3,Apartment,True,False,N/A,False,N/A,Beginner,Low,High,Medium,Filhote,7.9,Low,Calm,Low,False,False,False,Low,Medium,1
12,51,Apartment,True,False,N/A,False,N/A,Beginner,Low,High,Medium,Filhote,6.9,High,Independent,Low,False,True,True,High,Medium,0
13,110,House,True,True,0-5,True,dog,Beginner,Medium,Low,Small,Idoso,13.4,Medium,Independent,High,True,False,False,Medium,High,0
13,259,House,True,True,0-5,True,dog,Beginner,Medium,Low,Small,Idoso,5.5,Low,Territorial,Medium,True,True,True,Low,Medium,1
13,244,House,True,True,0-5,True,dog,Beginner,Medium,Low,Small,Idoso,12.9,Medium,Independent,Low,True,False,True,Medium,High,0
13,188,House,True,True,0-5,True,dog,Beginner,Medium,Low,Small,Idoso,11.1,Low,Calm,High,True,True,False,Medium,Low,1
13,95,House,True,True,0-5,True,dog,Beginner,Medium,Low,Small,Idoso,3.0,High,Playful,High,True,True,False,Medium,High,1
14,226,Apartment,False,True,13-17,False,N/A,Experienced,Medium,Low,Small,Adulto,4.3,Low,Playful,High,True,True,True,Low,Medium,1
14,55,Apartment,False,True,13-17,False,N/A,Experienced,Medium,Low,Small,Adulto,2.3,High,Independent,High,True,False,False,High,High,0
14,93,Apartment,False,True,13-17,False,N/A,Experienced,Medium,Low,Small,Adulto,13.4,High,Playful,Low,True,False,True,Low,Medium,1
14,182,Apartment,False,True,13-17,False,N/A,Experienced,Medium,Low,Small,Adulto,5.5,Low,Calm,High,False,True,False,Low,High,1
14,195,Apartment,False,True,13-17,False,N/A,Experienced,Medium,Low,Small,Adulto,2.7,Low,Calm,Medium,True,True,True,Low,High,1
15,218,Apartment,False,True,13-17,False,N/A,Beginner,Medium,Medium,Small,Filhote,10.1,Medium,Calm,High,True,True,False,Medium,Low,1
15,110,Apartment,False,True,13-17,False,N/A,Beginner,Medium,Medium,Small,Filhote,13.4,Medium,Independent,High,True,False,False,Medium,High,1
15,264,Apartment,False,True,13-17,False,N/A,Beginner,Medium,Medium,Small,Filhote,3.4,Medium,Territorial,High,True,False,False,Medium,Low,0
15,117,Apartment,False,True,13-17,False,N/A,Beginner,Medium,Medium,Small,Filhote,6.0,High,Playful,High,False,False,True,Medium,Low,0
15,209,Apartment,False,True,13-17,False,N/A,Beginner,Medium,Medium,Small,Filhote,6.0,High,Calm,Low,True,False,False,Low,Low,0
16,58,House,False,False,N/A,True,dog,Experienced,Low,Low,Large,Idoso,8.2,Medium,Independent,High,True,True,False,Low,Low,1
16,161,House,False,False,N/A,True,dog,Experienced,Low,Low,Large,Idoso,4.3,Medium,Affectionate,Low,True,False,True,Medium,Medium,0
16,64,House,False,False,N/A,True,dog,Experienced,Low,Low,Large,Idoso,10.9,Medium,Playful,Low,True,False,True,Medium,High,0
16,239,House,False,False,N/A,True,dog,Experienced,Low,Low,Large,Idoso,3.4,Medium,Affectionate,High,True,True,True,Medium,Low,0
16,57,House,False,False,N/A,True,dog,Experienced,Low,Low,Large,Idoso,7.1,High,Playful,High,True,True,False,High,High,0
17,267,Apartment,False,False,N/A,False,N/A,Experienced,High,High,Medium,Adulto,7.8,High,Territorial,Medium,True,False,True,Medium,Medium,1
17,70,Apartment,False,False,N/A,False,N/A,Experienced,High,High,Medium,Adulto,11.4,High,Calm,Low,True,False,False,Low,Low,1
17,254,Apartment,False,False,N/A,False,N/A,Experienced,High,High,Medium,Adulto,11.3,Medium,Affectionate,High,True,True,True,Low,Medium,1
17,185,Apartment,False,False,N/A,False,N/A,Experienced,High,High,Medium,Adulto,1.3,Medium,Independent,Medium,False,True,True,Medium,Low,0
17,148,Apartment,False,False,N/A,False,N/A,Experienced,High,High,Medium,Adulto,5.4,Low,Territorial,Low,True,True,True,Low,Low,0
18,286,House,False,False,N/A,True,cat,Experienced,High,High,Medium,Adulto,1.4,Low,Affectionate,Medium,False,True,False,Medium,High,0
18,21,House,False,False,N/A,True,cat,Experienced,High,High,Medium,Adulto,5.5,Low,Playful,Medium,True,False,False,Low,Low,0
18,43,House,False,False,N/A,True,cat,Experienced,High,High,Medium,Adulto,2.7,Low,Affectionate,Medium,False,True,True,Low,Low,1
18,168,House,False,False,N/A,True,cat,Experienced,High,High,Medium,Adulto,2.8,Low,Calm,Medium,False,False,True,Low,Medium,1
18,253,House,False,False,N/A,True,cat,Experienced,High,High,Medium,Adulto,1.2,High,Independent,Medium,True,False,True,High,High,1
19,60,Apartment,False,False,N/A,False,N/A,Beginner,Low,Low,Small,Adulto,8.3,Medium,Affectionate,Low,True,False,True,Medium,High,0
19,198,Apartment,False,False,N/A,False,N/A,Beginner,Low,Low,Small,Adulto,6.6,Medium,Territorial,High,True,True,True,Medium,High,0
19,146,Apartment,False,False,N/A,False,N/A,Beginner,Low,Low,Small,Adulto,6.2,High,Independent,High,False,True,True,High,Medium,0
19,234,Apartment,False,False,N/A,False,N/A,Beginner,Low,Low,Small,Adulto,0.4,Low,Independent,Low,False,False,True,Low,Low,0
19,160,Apartment,False,False,N/A,False,N/A,Beginner,Low,Low,Small,Adulto,4.6,Medium,Calm,Low,True,False,False,Medium,Medium,0
20,228,Apartment,False,False,N/A,True,cat,Intermediate,Low,Medium,Medium,Idoso,3.3,Low,Independent,Medium,True,False,True,Medium,High,0
20,116,Apartment,False,False,N/A,True,cat,Intermediate,Low,Medium,Medium,Idoso,1.9,High,Territorial,High,False,False,False,High,Medium,0
20,284,Apartment,False,False,N/A,True,cat,Intermediate,Low,Medium,Medium,Idoso,4.4,Low,Calm,High,False,False,True,Low,Low,0
20,209,Apartment,False,False,N/A,True,cat,Intermediate,Low,Medium,Medium,Idoso,6.0,High,Calm,Low,True,False,False,Low,Low,0
20,149,Apartment,False,False,N/A,True,cat,Intermediate,Low,Medium,Medium,Idoso,4.6,Low,Calm,Medium,True,False,False,Low,Medium,0
21,220,Apartment,False,False,N/A,True,cat,Beginner,Medium,Medium,Large,Idoso,9.3,Medium,Calm,High,False,True,True,Medium,High,1
21,97,Apartment,False,False,N/A,True,cat,Beginner,Medium,Medium,Large,Idoso,7.5,Medium,Independent,High,True,True,True,Medium,Low,0
21,36,Apartment,False,False,N/A,True,cat,Beginner,Medium,Medium,Large,Idoso,11.6,Medium,Playful,Low,True,True,False,Medium,Medium,1
21,244,Apartment,False,False,N/A,True,cat,Beginner,Medium,Medium,Large,Idoso,12.9,Medium,Independent,Low,True,False,True,Medium,High,1
21,189,Apartment,False,False,N/A,True,cat,Beginner,Medium,Medium,Large,Idoso,9.4,High,Territorial,Low,True,False,False,High,Low,0
22,92,House,True,True,13-17,True,dog,Beginner,Low,Medium,Medium,Idoso,2.6,High,Calm,High,False,True,False,Medium,High,0
22,7,House,True,True,13-17,True,dog,Beginner,Low,Medium,Medium,Idoso,1.9,High,Calm,Medium,True,True,False,High,Low,0
22,252,House,True,True,13-17,True,dog,Beginner,Low,Medium,Medium,Idoso,11.0,Low,Calm,Medium,True,True,True,Low,High,1
22,54,House,True,True,13-17,True,dog,Beginner,Low,Medium,Medium,Idoso,12.7,Low,Independent,Medium,True,True,True,Medium,Medium,0
22,203,House,True,True,13-17,True,dog,Beginner,Low,Medium,Medium,Idoso,7.6,Medium,Playful,Low,True,False,False,Medium,Low,0
23,225,Apartment,False,False,N/A,False,N/A,Intermediate,Low,High,Medium,Idoso,6.0,Medium,Calm,High,True,False,False,Medium,High,0
23,268,Apartment,False,False,N/A,False,N/A,Intermediate,Low,High,Medium,Idoso,0.4,Low,Independent,Medium,True,False,True,Medium,High,0
23,44,Apartment,False,False,N/A,False,N/A,Intermediate,Low,High,Medium,Idoso,7.8,Low,Playful,Low,True,False,False,Low,Medium,1
23,62,Apartment,False,False,N/A,False,N/A,Intermediate,Low,High,Medium,Idoso,11.7,High,Calm,High,True,True,False,Low,High,1
23,74,Apartment,False,False,N/A,False,N/A,Intermediate,Low,High,Medium,Idoso,0.9,High,Independent,High,True,True,False,High,High,1
24,203,House,False,False,N/A,False,N/A,Beginner,High,Medium,Large,Idoso,7.6,Medium,Playful,Low,True,False,False,Medium,Low,1
24,206,House,False,False,N/A,False,N/A,Beginner,High,Medium,Large,Idoso,8.4,High,Independent,Medium,True,True,True,High,Medium,0
24,53,House,False,False,N/A,False,N/A,Beginner,High,Medium,Large,Idoso,12.0,High,Affectionate,High,True,True,False,Low,Low,1
24,87,House,False,False,N/A,False,N/A,Beginner,High,Medium,Large,Idoso,1.0,Low,Calm,Medium,True,True,True,Low,Low,1
24,34,House,False,False,N/A,False,N/A,Beginner,High,Medium,Large,Idoso,13.0,Low,Playful,Low,True,False,True,Low,High,1
25,187,Apartment,True,False,N/A,False,N/A,Experienced,Medium,Medium,Small,Filhote,8.1,Medium,Independent,Low,True,True,False,Medium,Medium,1
25,102,Apartment,True,False,N/A,False,N/A,Experienced,Medium,Medium,Small,Filhote,11.4,Low,Playful,Medium,False,True,False,Low,Low,0
25,174,Apartment,True,False,N/A,False,N/A,Experienced,Medium,Medium,Small,Filhote,1.6,High,Calm,Low,False,False,True,Low,High,1
25,103,Apartment,True,False,N/A,False,N/A,Experienced,Medium,Medium,Small,Filhote,4.2,Low,Territorial,Low,False,True,False,Low,High,1
25,207,Apartment,True,False,N/A,False,N/A,Experienced,Medium,Medium,Small,Filhote,0.6,Medium,Calm,High,True,True,False,Medium,High,1
26,63,House,False,True,0-5,True,cat,Beginner,High,Low,Medium,Idoso,2.9,Medium,Playful,High,True,False,True,Medium,High,1
26,120,House,False,True,0-5,True,cat,Beginner,High,Low,Medium,Idoso,10.8,Medium,Affectionate,Medium,True,False,False,Low,High,0
26,218,House,False,True,0-5,True,cat,Beginner,High,Low,Medium,Idoso,10.1,Medium,Calm,High,True,True,False,Medium,Low,0
26,256,House,False,True,0-5,True,cat,Beginner,High,Low,Medium,Idoso,5.1,Medium,Playful,Medium,False,True,True,Medium,Medium,0
26,143,House,False,True,0-5,True,cat,Beginner,High,Low,Medium,Idoso,0.4,Medium,Affectionate,Medium,True,False,False,Low,Medium,0
27,298,House,False,False,N/A,False,N/A,Intermediate,Low,Medium,Medium,Adulto,2.1,Low,Territorial,Low,True,True,True,Low,High,1
27,140,House,False,False,N/A,False,N/A,Intermediate,Low,Medium,Medium,Adulto,2.7,Medium,Affectionate,High,False,True,True,Medium,High,1
27,205,House,False,False,N/A,False,N/A,Intermediate,Low,Medium,Medium,Adulto,5.6,Medium,Calm,Medium,False,True,True,Medium,Medium,1
27,183,House,False,False,N/A,False,N/A,Intermediate,Low,Medium,Medium,Adulto,4.8,Low,Independent,Low,True,False,False,Low,Low,1
27,244,House,False,False,N/A,False,N/A,Intermediate,Low,Medium,Medium,Adulto,12.9,Medium,Independent,Low,True,False,True,Medium,High,1
28,208,Apartment,True,True,0-5,True,dog,Beginner,Medium,High,Small,Adulto,9.3,Low,Affectionate,Medium,True,True,True,Low,High,1
28,249,Apartment,True,True,0-5,True,dog,Beginner,Medium,High,Small,Adulto,11.0,High,Territorial,High,True,False,False,High,Low,0
28,262,Apartment,True,True,0-5,True,dog,Beginner,Medium,High,Small,Adulto,3.9,High,Calm,Medium,True,False,False,Medium,Medium,1
28,143,Apartment,True,True,0-5,True,dog,Beginner,Medium,High,Small,Adulto,0.4,Medium,Affectionate,Medium,True,False,False,Low,Medium,0
28,76,Apartment,True,True,0-5,True,dog,Beginner,Medium,High,Small,Adulto,3.5,Medium,Playful,High,True,False,True,Low,High,0
29,233,House,False,False,N/A,True,cat,Intermediate,Low,Low,Large,Idoso,6.8,High,Affectionate,High,True,False,True,Low,Low,1
29,56,House,False,False,N/A,True,cat,Intermediate,Low,Low,Large,Idoso,6.6,High,Affectionate,Low,True,True,False,Medium,Medium,0
29,63,House,False,False,N/A,True,cat,Intermediate,Low,Low,Large,Idoso,2.9,Medium,Playful,High,True,False,True,Medium,High,0
29,129,House,False,False,N/A,True,cat,Intermediate,Low,Low,Large,Idoso,2.6,Low,Territorial,High,False,True,False,Medium,Low,0
29,251,House,False,False,N/A,True,cat,Intermediate,Low,Low,Large,Idoso,3.3,Medium,Affectionate,High,False,True,False,Medium,Low,0
30,255,Apartment,False,False,N/A,True,dog,Beginner,Medium,Low,Large,Idoso,9.0,Low,Affectionate,Medium,True,True,False,Medium,Low,1
30,119,Apartment,False,False,N/A,True,dog,Beginner,Medium,Low,Large,Idoso,10.2,High,Playful,High,True,True,False,Medium,Medium,1
30,69,Apartment,False,False,N/A,True,dog,Beginner,Medium,Low,Large,Idoso,5.9,High,Territorial,Medium,True,True,True,Low,Medium,0
30,16,Apartment,False,False,N/A,True,dog,Beginner,Medium,Low,Large,Idoso,2.1,Medium,Independent,Low,True,False,False,Medium,Medium,0
30,51,Apartment,False,False,N/A,True,dog,Beginner,Medium,Low,Large,Idoso,6.9,High,Independent,Low,False,True,True,High,Medium,0
31,28,Apartment,True,False,N/A,True,cat,Beginner,High,Medium,Large,Filhote,11.7,Medium,Affectionate,Medium,True,True,False,Medium,Low,0
31,35,Apartment,True,False,N/A,True,cat,Beginner,High,Medium,Large,Filhote,9.4,High,Affectionate,Medium,True,False,False,Medium,High,0
31,256,Apartment,True,False,N/A,True,cat,Beginner,High,Medium,Large,Filhote,5.1,Medium,Playful,Medium,False,True,True,Medium,Medium,1
31,14,Apartment,True,False,N/A,True,cat,Beginner,High,Medium,Large,Filhote,2.4,High,Territorial,High,True,False,True,Medium,High,0
31,92,Apartment,True,False,N/A,True,cat,Beginner,High,Medium,Large,Filhote,2.6,High,Calm,High,False,True,False,Medium,High,0
32,196,House,False,True,6-12,True,dog,Intermediate,Low,Low,Medium,Filhote,8.4,Medium,Independent,Low,False,True,False,Medium,Low,0
32,168,House,False,True,6-12,True,dog,Intermediate,Low,Low,Medium,Filhote,2.8,Low,Calm,Medium,False,False,True,Low,Medium,0
32,79,House,False,True,6-12,True,dog,Intermediate,Low,Low,Medium,Filhote,6.3,High,Independent,Medium,True,False,False,High,High,0
32,156,House,False,True,6-12,True,dog,Intermediate,Low,Low,Medium,Filhote,11.0,High,Playful,Medium,True,False,True,High,Medium,0
32,50,House,False,True,6-12,True,dog,Intermediate,Low,Low,Medium,Filhote,5.6,High,Independent,Medium,True,False,True,Low,High,0
33,40,Apartment,True,True,6-12,False,N/A,Experienced,Medium,Medium,Small,Idoso,10.0,Low,Calm,High,True,False,False,Low,Medium,1
33,267,Apartment,True,True,6-12,False,N/A,Experienced,Medium,Medium,Small,Idoso,7.8,High,Territorial,Medium,True,False,True,Medium,Medium,1
33,253,Apartment,True,True,6-12,False,N/A,Experienced,Medium,Medium,Small,Idoso,1.2,High,Independent,Medium,True,False,True,High,High,0
33,239,Apartment,True,True,6-12,False,N/A,Experienced,Medium,Medium,Small,Idoso,3.4,Medium,Affectionate,High,True,True,True,Medium,Low,1
33,104,Apartment,True,True,6-12,False,N/A,Experienced,Medium,Medium,Small,Idoso,4.3,High,Territorial,High,True,True,True,High,Low,0
34,151,Apartment,True,False,N/A,False,N/A,Experienced,Medium,High,Medium,Filhote,10.7,High,Calm,High,False,False,True,Low,Medium,1
34,255,Apartment,True,False,N/A,False,N/A,Experienced,Medium,High,Medium,Filhote,9.0,Low,Affectionate,Medium,True,True,False,Medium,Low,0
34,252,Apartment,True,False,N/A,False,N/A,Experienced,Medium,High,Medium,Filhote,11.0,Low,Calm,Medium,True,True,True,Low,High,1
34,259,Apartment,True,False,N/A,False,N/A,Experienced,Medium,High,Medium,Filhote,5.5,Low,Territorial,Medium,True,True,True,Low,Medium,1
34,134,Apartment,True,False,N/A,False,N/A,Experienced,Medium,High,Medium,Filhote,13.0,Medium,Territorial,Medium,False,True,True,Medium,High,1
35,278,Apartment,True,True,0-5,False,N/A,Beginner,Medium,Medium,Small,Idoso,9.3,High,Territorial,High,True,True,False,Low,Low,0
35,176,Apartment,True,True,0-5,False,N/A,Beginner,Medium,Medium,Small,Idoso,12.7,Low,Playful,Low,True,False,False,Low,Medium,1
35,277,Apartment,True,True,0-5,False,N/A,Beginner,Medium,Medium,Small,Idoso,1.2,High,Independent,High,True,True,False,Low,High,0
35,280,Apartment,True,True,0-5,False,N/A,Beginner,Medium,Medium,Small,Idoso,7.0,High,Independent,High,False,False,False,High,High,0
35,10,Apartment,True,True,0-5,False,N/A,Beginner,Medium,Medium,Small,Idoso,2.0,High,Calm,High,True,True,True,Medium,Medium,1
36,17,House,False,False,N/A,False,N/A,Intermediate,Medium,Low,Large,Idoso,2.5,Medium,Territorial,Medium,False,True,False,Medium,Medium,1
36,221,House,False,False,N/A,False,N/A,Intermediate,Medium,Low,Large,Idoso,1.7,Low,Affectionate,High,False,False,True,Low,Medium,1
36,61,House,False,False,N/A,False,N/A,Intermediate,Medium,Low,Large,Idoso,0.9,Low,Calm,Low,True,True,True,Low,High,1
36,197,House,False,False,N/A,False,N/A,Intermediate,Medium,Low,Large,Idoso,4.0,Low,Affectionate,Low,True,False,True,Low,High,1
36,231,House,False,False,N/A,False,N/A,Intermediate,Medium,Low,Large,Idoso,2.4,High,Calm,Low,True,False,False,High,High,0
37,162,House,False,False,N/A,True,dog,Experienced,Medium,Low,Medium,Adulto,10.7,Medium,Calm,Medium,True,False,False,Low,Medium,0
37,193,House,False,False,N/A,True,dog,Experienced,Medium,Low,Medium,Adulto,1.0,Medium,Calm,Medium,False,True,True,Low,Low,1
37,227,House,False,False,N/A,True,dog,Experienced,Medium,Low,Medium,Adulto,13.0,Low,Affectionate,High,True,True,False,Low,Low,1
37,236,House,False,False,N/A,True,dog,Experienced,Medium,Low,Medium,Adulto,1.3,High,Affectionate,Medium,True,True,False,High,Low,0
37,19,House,False,False,N/A,True,dog,Experienced,Medium,Low,Medium,Adulto,1.8,High,Territorial,High,True,True,True,Low,Low,1
38,17,House,False,False,N/A,False,N/A,Beginner,Low,High,Medium,Adulto,2.5,Medium,Territorial,Medium,False,True,False,Medium,Medium,0
38,91,House,False,False,N/A,False,N/A,Beginner,Low,High,Medium,Adulto,7.1,Medium,Calm,High,True,True,False,Low,Medium,1
38,286,House,False,False,N/A,False,N/A,Beginner,Low,High,Medium,Adulto,1.4,Low,Affectionate,Medium,False,True,False,Medium,High,0
38,156,House,False,False,N/A,False,N/A,Beginner,Low,High,Medium,Adulto,11.0,High,Playful,Medium,True,False,True,High,Medium,1
38,85,House,False,False,N/A,False,N/A,Beginner,Low,High,Medium,Adulto,11.5,Low,Calm,Medium,True,True,False,Low,High,1
39,252,House,False,True,6-12,False,N/A,Intermediate,Medium,Low,Small,Adulto,11.0,Low,Calm,Medium,True,True,True,Low,High,1
39,221,House,False,True,6-12,False,N/A,Intermediate,Medium,Low,Small,Adulto,1.7,Low,Affectionate,High,False,False,True,Low,Medium,1
39,69,House,False,True,6-12,False,N/A,Intermediate,Medium,Low,Small,Adulto,5.9,High,Territorial,Medium,True,True,True,Low,Medium,1
39,160,House,False,True,6-12,False,N/A,Intermediate,Medium,Low,Small,Adulto,4.6,Medium,Calm,Low,True,False,False,Medium,Medium,1
39,200,House,False,True,6-12,False,N/A,Intermediate,Medium,Low,Small,Adulto,10.2,High,Affectionate,Medium,True,True,False,Low,High,1
40,250,Apartment,True,True,6-12,False,N/A,Experienced,High,Low,Large,Filhote,1.7,High,Territorial,High,False,False,True,Low,High,0
