id,name,species,age,size,type,breed,gender,location,energy_level,temperament,sociability,children_compatibility,dogs_compatibility,cats_compatibility,exercise_need,special_needs,vaccinated,neutered,trained,apartment_adaptability,description
23,Pet23,Dog,2.9,Medium,Canine,Labrador,Female,"São Paulo, SP",High,Territorial,High,False,False,False,High,False,True,False,False,High,"Dog de porte medium, temperamento independent."
24,Pet24,Dog,7.2,Large,Canine,Border Collie,Female,"Curitiba, PR",Medium,Affectionate,High,True,True,True,Medium,False,True,False,False,Medium,"Dog de porte large, temperamento affectionate."
25,Pet25,Dog,3.2,Medium,Canine,Shih Tzu,Female,"Belo Horizonte, MG",Medium,Affectionate,Medium,False,True,False,Medium,False,True,True,True,High,"Dog de porte medium, temperamento territorial."
26,Pet26,Cat,9.5,Small,Feline,Siamês,Male,"Rio de Janeiro, RJ",Low,Calm,Low,True,True,False,Low,True,True,True,True,High,"Cat de porte small, temperamento affectionate."
27,Pet27,Cat,2.3,Small,Feline,SRD,Male,"Belo Horizonte, MG",Medium,Playful,Low,False,False,True,Low,False,False,True,True,Medium,"Cat de porte small, temperamento territorial."
28,Pet28,Cat,11.7,Small,Feline,Angorá,Female,"Rio de Janeiro, RJ",Medium,Affectionate,Medium,True,True,False,Medium,False,True,True,True,Low,"Cat de porte small, temperamento independent."
29,Pet29,Dog,4.7,Medium,Canine,Shih Tzu,Male,"Rio de Janeiro, RJ",Medium,Playful,Low,True,True,True,Medium,False,True,True,True,Medium,"Dog de porte medium, temperamento affectionate."
30,Pet30,Dog,6.8,Large,Canine,Poodle,Female,"Belo Horizonte, MG",Medium,Affectionate,High,False,True,False,Medium,False,True,True,True,Medium,"Dog de porte large, temperamento affectionate."
31,Pet31,Dog,13.7,Medium,Canine,Shih Tzu,Male,"Belo Horizonte, MG",Low,Territorial,High,False,True,True,Low,False,True,True,True,Medium,"Dog de porte medium, temperamento independent."
32,Pet32,Cat,10.6,Small,Feline,Maine Coon,Female,"São Paulo, SP",Medium,Affectionate,Low,False,True,False,Medium,False,True,False,True,Low,"Cat de porte small, temperamento playful."
33,Pet33,Dog,2.4,Small,Canine,Vira-lata,Female,"São Paulo, SP",High,Territorial,Low,True,True,True,High,False,False,False,False,Low,"Dog de porte small, temperamento independent."
34,Pet34,Dog,13.0,Large,Canine,Shih Tzu,Female,"Belo Horizonte, MG",Low,Playful,Low,True,False,True,Low,False,True,True,False,High,"Dog de porte large, temperamento calm."
35,Pet35,Cat,9.4,Small,Feline,SRD,Female,"São Paulo, SP",High,Affectionate,Medium,True,False,False,Medium,False,True,True,False,High,"Cat de porte small, temperamento independent."
36,Pet36,Cat,11.6,Small,Feline,Angorá,Female,"Curitiba, PR",Medium,Playful,Low,True,True,False,Medium,False,True,True,False,Medium,"Cat de porte small, temperamento playful."
37,Pet37,Cat,11.2,Small,Feline,Persa,Female,"Curitiba, PR",Low,Territorial,Low,True,True,True,Medium,False,True,True,False,High,"Cat de porte small, temperamento affectionate."
38,Pet38,Cat,4.3,Small,Feline,Maine Coon,Male,"Curitiba, PR",Low,Territorial,Medium,True,True,True,Low,False,True,False,True,Medium,"Cat de porte small, temperamento playful."
39,Pet39,Dog,4.6,Large,Canine,Border Collie,Male,"Rio de Janeiro, RJ",Low,Playful,High,True,False,False,Low,False,True,True,True,Low,"Dog de porte large, temperamento independent."
40,Pet40,Dog,10.0,Medium,Canine,Vira-lata,Female,"São Paulo, SP",Low,Calm,High,True,False,False,Low,False,True,True,True,Medium,"Dog de porte medium, temperamento affectionate."
41,Pet41,Cat,3.8,Small,Feline,Maine Coon,Male,"São Paulo, SP",Low,Affectionate,Medium,True,False,True,Low,False,True,True,False,Low,"Cat de porte small, temperamento territorial."
42,Pet42,Cat,10.9,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",High,Independent,High,False,True,False,Low,False,True,False,True,Low,"Cat de porte small, temperamento independent."
43,Pet43,Dog,2.7,Small,Canine,Labrador,Male,"São Paulo, SP",Low,Affectionate,Medium,False,True,True,Low,False,True,False,True,Low,"Dog de porte small, temperamento independent."
44,Pet44,Dog,7.8,Medium,Canine,Border Collie,Male,"Curitiba, PR",Low,Playful,Low,True,False,False,Low,False,False,True,False,Medium,"Dog de porte medium, temperamento affectionate."
45,Pet45,Cat,6.3,Small,Feline,Angorá,Male,"Belo Horizonte, MG",High,Independent,High,True,True,False,Medium,False,True,False,False,High,"Cat de porte small, temperamento independent."
46,Pet46,Dog,7.4,Small,Canine,Bulldog,Female,"Rio de Janeiro, RJ",Medium,Territorial,Medium,True,True,True,Medium,False,True,True,False,Medium,"Dog de porte small, temperamento affectionate."
47,Pet47,Cat,11.4,Small,Feline,Angorá,Male,"Belo Horizonte, MG",Medium,Calm,Medium,True,True,False,Medium,False,True,True,False,Medium,"Cat de porte small, temperamento affectionate."
48,Pet48,Dog,5.3,Small,Canine,Bulldog,Female,"São Paulo, SP",High,Playful,Medium,True,False,True,High,False,True,False,False,Low,"Dog de porte small, temperamento playful."
49,Pet49,Cat,7.9,Small,Feline,SRD,Male,"São Paulo, SP",High,Affectionate,Low,True,True,False,Low,False,True,True,False,Medium,"Cat de porte small, temperamento playful."
50,Pet50,Cat,5.6,Small,Feline,Angorá,Male,"São Paulo, SP",High,Independent,Medium,True,False,True,Low,True,True,False,False,High,"Cat de porte small, temperamento affectionate."
51,Pet51,Dog,6.9,Medium,Canine,Poodle,Female,"Belo Horizonte, MG",High,Independent,Low,False,True,True,High,False,True,True,False,Medium,"Dog de porte medium, temperamento affectionate."
52,Pet52,Dog,2.0,Medium,Canine,Shih Tzu,Female,"São Paulo, SP",Low,Affectionate,Low,True,True,False,Low,False,True,True,False,Medium,"Dog de porte medium, temperamento independent."
53,Pet53,Cat,12.0,Small,Feline,Angorá,Female,"Curitiba, PR",High,Affectionate,High,True,True,False,Low,False,False,False,False,Low,"Cat de porte small, temperamento calm."
54,Pet54,Cat,12.7,Small,Feline,SRD,Female,"São Paulo, SP",Low,Independent,Medium,True,True,True,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento territorial."
55,Pet55,Dog,2.3,Medium,Canine,Bulldog,Female,"Belo Horizonte, MG",High,Independent,High,True,False,False,High,False,True,True,True,High,"Dog de porte medium, temperamento independent."
56,Pet56,Cat,6.6,Small,Feline,Persa,Male,"Belo Horizonte, MG",High,Affectionate,Low,True,True,False,Medium,False,True,False,False,Medium,"Cat de porte small, temperamento calm."
57,Pet57,Dog,7.1,Large,Canine,Poodle,Male,"Curitiba, PR",High,Playful,High,True,True,False,High,False,True,True,True,High,"Dog de porte large, temperamento calm."
58,Pet58,Cat,8.2,Small,Feline,Siamês,Male,"Curitiba, PR",Medium,Independent,High,True,True,False,Low,False,True,True,True,Low,"Cat de porte small, temperamento independent."
59,Pet59,Cat,11.3,Small,Feline,Maine Coon,Male,"Rio de Janeiro, RJ",Medium,Playful,High,False,False,False,Medium,False,True,False,True,High,"Cat de porte small, temperamento calm."
60,Pet60,Cat,8.3,Small,Feline,Persa,Male,"Rio de Janeiro, RJ",Medium,Affectionate,Low,True,False,True,Medium,False,True,True,False,High,"Cat de porte small, temperamento independent."
61,Pet61,Cat,0.9,Small,Feline,SRD,Female,"Belo Horizonte, MG",Low,Calm,Low,True,True,True,Low,False,False,True,False,High,"Cat de porte small, temperamento playful."
62,Pet62,Cat,11.7,Small,Feline,Angorá,Female,"Curitiba, PR",High,Calm,High,True,True,False,Low,False,True,True,False,High,"Cat de porte small, temperamento independent."
63,Pet63,Dog,2.9,Medium,Canine,Labrador,Female,"São Paulo, SP",Medium,Playful,High,True,False,True,Medium,False,False,False,True,High,"Dog de porte medium, temperamento playful."
64,Pet64,Dog,10.9,Small,Canine,Shih Tzu,Male,"Curitiba, PR",Medium,Playful,Low,True,False,True,Medium,False,True,True,False,High,"Dog de porte small, temperamento independent."
65,Pet65,Dog,1.0,Small,Canine,Border Collie,Female,"São Paulo, SP",Medium,Calm,Medium,True,True,False,Medium,False,True,True,False,High,"Dog de porte small, temperamento territorial."
66,Pet66,Cat,1.1,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",Medium,Calm,Medium,False,True,False,Low,False,True,True,False,High,"Cat de porte small, temperamento territorial."
67,Pet67,Cat,6.5,Small,Feline,Angorá,Female,"São Paulo, SP",Medium,Calm,High,False,False,False,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento affectionate."
68,Pet68,Cat,4.6,Small,Feline,Persa,Female,"Curitiba, PR",High,Playful,High,False,True,False,Low,True,True,False,False,High,"Cat de porte small, temperamento calm."
69,Pet69,Cat,5.9,Small,Feline,Maine Coon,Male,"Curitiba, PR",High,Territorial,Medium,True,True,True,Low,False,True,True,False,Medium,"Cat de porte small, temperamento calm."
70,Pet70,Cat,11.4,Small,Feline,Angorá,Male,"Curitiba, PR",High,Calm,Low,True,False,False,Low,False,True,True,False,Low,"Cat de porte small, temperamento playful."
71,Pet71,Dog,7.6,Small,Canine,Bulldog,Female,"Belo Horizonte, MG",High,Independent,Low,True,False,False,High,False,True,True,True,High,"Dog de porte small, temperamento calm."
72,Pet72,Dog,9.4,Medium,Canine,Bulldog,Female,"Belo Horizonte, MG",Medium,Independent,Low,False,True,True,Medium,False,True,True,False,Low,"Dog de porte medium, temperamento playful."
73,Pet73,Cat,0.4,Small,Feline,Persa,Male,"Rio de Janeiro, RJ",High,Independent,Medium,True,True,False,Low,False,True,False,False,High,"Cat de porte small, temperamento independent."
74,Pet74,Dog,0.9,Medium,Canine,Labrador,Female,"São Paulo, SP",High,Independent,High,True,True,False,High,False,True,False,True,High,"Dog de porte medium, temperamento affectionate."
75,Pet75,Cat,11.9,Small,Feline,Siamês,Female,"Belo Horizonte, MG",Low,Territorial,Low,True,True,True,Medium,False,True,True,True,High,"Cat de porte small, temperamento playful."
76,Pet76,Cat,3.5,Small,Feline,Siamês,Female,"Rio de Janeiro, RJ",Medium,Playful,High,True,False,True,Low,False,True,True,False,High,"Cat de porte small, temperamento affectionate."
77,Pet77,Cat,2.4,Small,Feline,SRD,Female,"Belo Horizonte, MG",High,Independent,Medium,True,True,True,Medium,False,True,True,True,High,"Cat de porte small, temperamento calm."
78,Pet78,Cat,6.5,Small,Feline,Angorá,Male,"Curitiba, PR",Medium,Territorial,Medium,True,False,True,Low,False,True,False,True,High,"Cat de porte small, temperamento playful."
79,Pet79,Dog,6.3,Small,Canine,Bulldog,Male,"Curitiba, PR",High,Independent,Medium,True,False,False,High,True,True,True,True,High,"Dog de porte small, temperamento affectionate."
80,Pet80,Cat,4.9,Small,Feline,Angorá,Male,"Curitiba, PR",Medium,Independent,High,False,True,False,Low,False,True,True,False,Low,"Cat de porte small, temperamento territorial."
81,Pet81,Dog,6.1,Large,Canine,Poodle,Male,"Curitiba, PR",High,Independent,Low,False,True,False,High,False,False,True,True,Low,"Dog de porte large, temperamento territorial."
82,Pet82,Dog,12.3,Large,Canine,Shih Tzu,Male,"Belo Horizonte, MG",Medium,Playful,Low,True,False,False,Medium,False,True,True,True,High,"Dog de porte large, temperamento playful."
83,Pet83,Cat,10.6,Small,Feline,Maine Coon,Male,"Rio de Janeiro, RJ",High,Independent,Medium,False,True,False,Medium,False,True,False,False,High,"Cat de porte small, temperamento territorial."
84,Pet84,Cat,11.3,Small,Feline,Siamês,Female,"São Paulo, SP",Low,Affectionate,Medium,True,True,False,Low,False,True,False,True,High,"Cat de porte small, temperamento playful."
85,Pet85,Cat,11.5,Small,Feline,Persa,Male,"Belo Horizonte, MG",Low,Calm,Medium,True,True,False,Low,False,True,False,False,High,"Cat de porte small, temperamento independent."
86,Pet86,Dog,4.2,Small,Canine,Bulldog,Male,"Belo Horizonte, MG",Low,Affectionate,High,True,True,True,Low,False,True,False,False,Low,"Dog de porte small, temperamento independent."
87,Pet87,Dog,1.0,Medium,Canine,Bulldog,Female,"São Paulo, SP",Low,Calm,Medium,True,True,True,Low,False,True,True,False,Low,"Dog de porte medium, temperamento territorial."
88,Pet88,Cat,7.5,Small,Feline,Persa,Male,"São Paulo, SP",Low,Affectionate,Medium,True,True,True,Low,False,True,True,True,High,"Cat de porte small, temperamento calm."
89,Pet89,Cat,5.1,Small,Feline,Persa,Male,"Belo Horizonte, MG",Low,Affectionate,High,True,True,False,Low,False,True,True,False,Low,"Cat de porte small, temperamento independent."
90,Pet90,Cat,13.9,Small,Feline,Angorá,Female,"Curitiba, PR",High,Calm,High,True,True,False,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento affectionate."
91,Pet91,Cat,7.1,Small,Feline,Maine Coon,Female,"Curitiba, PR",Medium,Calm,High,True,True,False,Low,False,True,True,True,Medium,"Cat de porte small, temperamento independent."
92,Pet92,Cat,2.6,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",High,Calm,High,False,True,False,Medium,False,False,False,True,High,"Cat de porte small, temperamento affectionate."
93,Pet93,Cat,13.4,Small,Feline,Siamês,Female,"São Paulo, SP",High,Playful,Low,True,False,True,Low,False,True,True,False,Medium,"Cat de porte small, temperamento independent."
94,Pet94,Cat,7.6,Small,Feline,Maine Coon,Female,"Curitiba, PR",Low,Playful,Low,True,True,True,Low,False,True,False,False,Low,"Cat de porte small, temperamento territorial."
95,Pet95,Cat,3.0,Small,Feline,Siamês,Male,"Belo Horizonte, MG",High,Playful,High,True,True,False,Medium,False,True,True,True,High,"Cat de porte small, temperamento independent."
96,Pet96,Cat,11.2,Small,Feline,Angorá,Male,"São Paulo, SP",Low,Playful,Low,True,True,True,Low,False,True,False,True,Low,"Cat de porte small, temperamento calm."
97,Pet97,Cat,7.5,Small,Feline,Maine Coon,Male,"Rio de Janeiro, RJ",Medium,Independent,High,True,True,True,Medium,False,True,True,False,Low,"Cat de porte small, temperamento affectionate."
98,Pet98,Dog,2.4,Small,Canine,Vira-lata,Male,"Curitiba, PR",High,Playful,Medium,False,True,True,High,True,True,False,True,High,"Dog de porte small, temperamento independent."
99,Pet99,Dog,2.6,Large,Canine,Shih Tzu,Male,"Rio de Janeiro, RJ",High,Territorial,High,False,True,False,High,True,False,True,False,High,"Dog de porte large, temperamento independent."
100,Pet100,Dog,8.8,Large,Canine,Labrador,Female,"Curitiba, PR",Medium,Independent,Medium,True,False,True,Medium,False,True,True,False,Medium,"Dog de porte large, temperamento playful."
101,Pet101,Cat,4.6,Small,Feline,Persa,Female,"Belo Horizonte, MG",High,Playful,Medium,True,True,True,Low,False,True,True,True,Medium,"Cat de porte small, temperamento territorial."
102,Pet102,Cat,11.4,Small,Feline,Angorá,Female,"Rio de Janeiro, RJ",Low,Playful,Medium,False,True,False,Low,False,True,True,False,Low,"Cat de porte small, temperamento playful."
103,Pet103,Cat,4.2,Small,Feline,Angorá,Female,"Curitiba, PR",Low,Territorial,Low,False,True,False,Low,False,True,True,False,High,"Cat de porte small, temperamento territorial."
104,Pet104,Dog,4.3,Medium,Canine,Bulldog,Female,"Curitiba, PR",High,Territorial,High,True,True,True,High,False,False,True,True,Low,"Dog de porte medium, temperamento playful."
105,Pet105,Cat,0.9,Small,Feline,Siamês,Female,"Belo Horizonte, MG",High,Territorial,Medium,True,False,True,Low,False,True,True,False,Medium,"Cat de porte small, temperamento territorial."
106,Pet106,Cat,10.0,Small,Feline,Persa,Female,"São Paulo, SP",High,Independent,Medium,False,False,False,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento independent."
107,Pet107,Dog,8.3,Large,Canine,Vira-lata,Female,"Rio de Janeiro, RJ",Low,Playful,Low,True,False,True,Low,False,True,True,True,High,"Dog de porte large, temperamento territorial."
108,Pet108,Cat,10.0,Small,Feline,Angorá,Male,"Curitiba, PR",High,Affectionate,High,True,False,True,Low,False,True,True,False,High,"Cat de porte small, temperamento independent."
109,Pet109,Cat,4.1,Small,Feline,Persa,Male,"Curitiba, PR",Low,Independent,High,True,False,True,Low,False,False,False,True,Low,"Cat de porte small, temperamento territorial."
110,Pet110,Cat,13.4,Small,Feline,Siamês,Female,"São Paulo, SP",Medium,Independent,High,True,False,False,Medium,False,True,False,True,High,"Cat de porte small, temperamento independent."
111,Pet111,Dog,10.5,Small,Canine,Vira-lata,Male,"São Paulo, SP",High,Territorial,Low,True,True,True,High,False,True,False,True,High,"Dog de porte small, temperamento playful."
112,Pet112,Cat,6.8,Small,Feline,Siamês,Female,"Curitiba, PR",High,Independent,High,True,False,False,Medium,False,True,False,True,Low,"Cat de porte small, temperamento affectionate."
113,Pet113,Dog,11.1,Small,Canine,Vira-lata,Female,"São Paulo, SP",Medium,Calm,Medium,True,True,False,Medium,False,False,True,False,Low,"Dog de porte small, temperamento territorial."
114,Pet114,Cat,11.4,Small,Feline,Persa,Male,"Belo Horizonte, MG",Medium,Independent,High,True,False,False,Low,False,True,True,False,Medium,"Cat de porte small, temperamento affectionate."
115,Pet115,Cat,9.5,Small,Feline,Siamês,Male,"Belo Horizonte, MG",Low,Independent,Low,True,True,True,Medium,False,True,True,False,Medium,"Cat de porte small, temperamento independent."
116,Pet116,Dog,1.9,Small,Canine,Poodle,Male,"Belo Horizonte, MG",High,Territorial,High,False,False,False,High,False,True,True,False,Medium,"Dog de porte small, temperamento playful."
117,Pet117,Cat,6.0,Small,Feline,Angorá,Female,"Rio de Janeiro, RJ",High,Playful,High,False,False,True,Medium,False,True,True,False,Low,"Cat de porte small, temperamento territorial."
118,Pet118,Dog,2.4,Large,Canine,Poodle,Female,"São Paulo, SP",High,Playful,High,True,True,True,High,False,True,True,False,Low,"Dog de porte large, temperamento territorial."
119,Pet119,Cat,10.2,Small,Feline,Maine Coon,Female,"São Paulo, SP",High,Playful,High,True,True,False,Medium,False,True,False,False,Medium,"Cat de porte small, temperamento calm."
120,Pet120,Cat,10.8,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",Medium,Affectionate,Medium,True,False,False,Low,False,True,True,True,High,"Cat de porte small, temperamento affectionate."
121,Pet121,Dog,11.7,Large,Canine,Labrador,Female,"Belo Horizonte, MG",Low,Territorial,Medium,True,False,True,Low,False,True,False,False,Low,"Dog de porte large, temperamento calm."
122,Pet122,Cat,3.6,Small,Feline,SRD,Male,"São Paulo, SP",High,Affectionate,High,False,False,True,Low,True,True,True,False,Low,"Cat de porte small, temperamento playful."
123,Pet123,Cat,8.2,Small,Feline,Persa,Male,"Curitiba, PR",Low,Playful,High,True,True,True,Medium,False,True,False,True,High,"Cat de porte small, temperamento affectionate."
124,Pet124,Cat,13.2,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",Low,Affectionate,Low,True,True,True,Medium,False,True,False,True,Medium,"Cat de porte small, temperamento calm."
125,Pet125,Cat,5.6,Small,Feline,Persa,Male,"Curitiba, PR",Medium,Calm,Medium,False,True,False,Low,False,True,True,False,Low,"Cat de porte small, temperamento playful."
126,Pet126,Dog,12.2,Medium,Canine,Poodle,Female,"São Paulo, SP",Low,Playful,Low,False,True,False,Low,False,True,True,True,Low,"Dog de porte medium, temperamento territorial."
127,Pet127,Cat,6.7,Small,Feline,Persa,Female,"Curitiba, PR",Medium,Independent,High,False,True,False,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento affectionate."
128,Pet128,Dog,10.5,Large,Canine,Labrador,Female,"Belo Horizonte, MG",Low,Independent,Low,True,True,False,Low,False,True,False,True,Medium,"Dog de porte large, temperamento affectionate."
129,Pet129,Cat,2.6,Small,Feline,Angorá,Female,"Rio de Janeiro, RJ",Low,Territorial,High,False,True,False,Medium,True,True,True,True,Low,"Cat de porte small, temperamento playful."
130,Pet130,Dog,0.4,Large,Canine,Shih Tzu,Female,"Curitiba, PR",Low,Calm,High,True,False,False,Low,False,True,True,False,Low,"Dog de porte large, temperamento territorial."
131,Pet131,Cat,0.5,Small,Feline,Maine Coon,Male,"São Paulo, SP",High,Calm,High,True,True,True,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento affectionate."
132,Pet132,Dog,4.4,Large,Canine,Labrador,Male,"São Paulo, SP",Low,Affectionate,Medium,True,True,False,Low,False,True,False,False,Medium,"Dog de porte large, temperamento territorial."
133,Pet133,Dog,3.4,Large,Canine,Border Collie,Female,"Curitiba, PR",Low,Calm,Low,False,True,True,Low,False,True,False,True,Low,"Dog de porte large, temperamento territorial."
134,Pet134,Dog,13.0,Large,Canine,Poodle,Male,"Rio de Janeiro, RJ",Medium,Territorial,Medium,False,True,True,Medium,False,True,True,True,High,"Dog de porte large, temperamento independent."
135,Pet135,Dog,3.5,Small,Canine,Labrador,Female,"Belo Horizonte, MG",Medium,Independent,Low,True,False,True,Medium,False,True,True,True,High,"Dog de porte small, temperamento affectionate."
136,Pet136,Dog,11.2,Large,Canine,Border Collie,Male,"São Paulo, SP",Medium,Independent,Low,True,False,True,Medium,False,True,True,False,Medium,"Dog de porte large, temperamento independent."
137,Pet137,Cat,1.5,Small,Feline,Maine Coon,Female,"Belo Horizonte, MG",Low,Calm,Low,True,True,False,Low,False,False,True,False,Low,"Cat de porte small, temperamento territorial."
138,Pet138,Dog,2.6,Large,Canine,Bulldog,Male,"Rio de Janeiro, RJ",High,Independent,Medium,True,True,True,High,False,True,False,True,Low,"Dog de porte large, temperamento affectionate."
139,Pet139,Dog,2.2,Medium,Canine,Labrador,Female,"Curitiba, PR",Low,Territorial,Medium,False,True,True,Low,False,False,False,True,Medium,"Dog de porte medium, temperamento territorial."
140,Pet140,Dog,2.7,Medium,Canine,Bulldog,Female,"Curitiba, PR",Medium,Affectionate,High,False,True,True,Medium,False,True,False,True,High,"Dog de porte medium, temperamento playful."
141,Pet141,Dog,13.2,Large,Canine,Vira-lata,Female,"Curitiba, PR",Medium,Calm,Medium,False,True,True,Medium,False,True,True,True,Medium,"Dog de porte large, temperamento territorial."
142,Pet142,Cat,7.6,Small,Feline,Maine Coon,Male,"Curitiba, PR",High,Territorial,High,True,True,False,Medium,False,True,True,True,High,"Cat de porte small, temperamento affectionate."
143,Pet143,Cat,0.4,Small,Feline,Persa,Male,"Rio de Janeiro, RJ",Medium,Affectionate,Medium,True,False,False,Low,False,True,True,True,Medium,"Cat de porte small, temperamento calm."
144,Pet144,Dog,5.1,Large,Canine,Poodle,Female,"Rio de Janeiro, RJ",Low,Territorial,Medium,True,True,False,Low,False,True,True,False,Low,"Dog de porte large, temperamento independent."
145,Pet145,Dog,13.0,Large,Canine,Border Collie,Male,"Rio de Janeiro, RJ",Low,Territorial,Low,True,True,True,Low,False,True,True,False,Medium,"Dog de porte large, temperamento calm."
146,Pet146,Dog,6.2,Medium,Canine,Labrador,Male,"Rio de Janeiro, RJ",High,Independent,High,False,True,True,High,False,True,True,False,Medium,"Dog de porte medium, temperamento affectionate."
147,Pet147,Cat,8.7,Small,Feline,Angorá,Male,"Curitiba, PR",High,Independent,Medium,True,False,False,Medium,False,True,True,True,Low,"Cat de porte small, temperamento playful."
148,Pet148,Cat,5.4,Small,Feline,Siamês,Female,"Belo Horizonte, MG",Low,Territorial,Low,True,True,True,Low,False,False,False,True,Low,"Cat de porte small, temperamento affectionate."
149,Pet149,Cat,4.6,Small,Feline,Maine Coon,Male,"Curitiba, PR",Low,Calm,Medium,True,False,False,Low,False,True,True,False,Medium,"Cat de porte small, temperamento affectionate."
150,Pet150,Dog,0.7,Small,Canine,Vira-lata,Female,"São Paulo, SP",High,Independent,Low,True,True,True,High,False,True,True,True,Low,"Dog de porte small, temperamento independent."
151,Pet151,Cat,10.7,Small,Feline,Maine Coon,Male,"Belo Horizonte, MG",High,Calm,High,False,False,True,Low,False,True,True,False,Medium,"Cat de porte small, temperamento calm."
